-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  fused_forward_gramian         0.00%       0.000us         0.00%       0.000us       0.000us     490.461ms        31.87%     490.461ms      40.872ms           0 b           0 b           0 b           0 b            12  
                             aten::convolution_backward         0.18%       1.703ms         0.42%       3.959ms      54.989us     163.473ms        10.62%     176.375ms       2.450ms           0 b           0 b       7.60 Gb       4.50 Mb            72  
                                               aten::mm         0.45%       4.292ms         0.68%       6.429ms      29.764us     130.487ms         8.48%     130.487ms     604.106us           0 b           0 b      24.22 Gb      24.22 Gb           216  
                                Optimizer.step#SGD.step         0.00%       0.000us         0.00%       0.000us       0.000us     115.136ms         7.48%     115.136ms       9.595ms           0 b           0 b           0 b           0 b            12  
                                    aten::_foreach_add_         0.07%     698.591us         0.21%       1.958ms     163.148us     114.896ms         7.47%     114.896ms       9.575ms           0 b           0 b           0 b           0 b            12  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     114.896ms         7.47%     114.896ms     368.257us           0 b           0 b           0 b           0 b           312  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      88.696ms         5.76%      88.696ms       1.848ms           0 b           0 b           0 b           0 b            48  
                       ampere_sgemm_128x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      75.382ms         4.90%      75.382ms       3.141ms           0 b           0 b           0 b           0 b            24  
                                           aten::im2col         0.35%       3.311ms         1.22%      11.568ms     321.344us      67.298ms         4.37%      79.259ms       2.202ms           0 b           0 b      28.31 Gb           0 b            36  
void at::native::im2col_kernel<float>(long, float co...         0.00%       0.000us         0.00%       0.000us       0.000us      67.298ms         4.37%      67.298ms      58.418us           0 b           0 b           0 b           0 b          1152  
                                              aten::bmm         0.10%     928.806us         0.14%       1.356ms      37.668us      64.801ms         4.21%      64.801ms       1.800ms           0 b           0 b     189.00 Mb     189.00 Mb            36  
                                aten::_conv_depthwise2d         0.02%     211.610us         0.06%     581.062us      24.211us      55.619ms         3.61%      55.619ms       2.317ms           0 b           0 b       5.44 Gb           0 b            24  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      55.619ms         3.61%      55.619ms       2.317ms           0 b           0 b           0 b           0 b            24  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      54.862ms         3.57%      54.862ms       2.286ms           0 b           0 b           0 b           0 b            24  
                                 ampere_sgemm_32x128_nt         0.00%       0.000us         0.00%       0.000us       0.000us      52.678ms         3.42%      52.678ms       4.390ms           0 b           0 b           0 b           0 b            12  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      44.696ms         2.90%      44.696ms       3.725ms           0 b           0 b           0 b           0 b            12  
                 aten::max_pool2d_with_indices_backward         0.03%     241.530us         0.07%     681.583us      28.399us      43.557ms         2.83%      51.749ms       2.156ms           0 b           0 b       5.44 Gb       5.44 Gb            24  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us      43.557ms         2.83%      43.557ms       1.815ms           0 b           0 b           0 b           0 b            24  
                                            aten::addmm         0.06%     610.306us         0.10%     928.780us      38.699us      40.825ms         2.65%      40.825ms       1.701ms           0 b           0 b      12.02 Mb      12.02 Mb            24  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      40.683ms         2.64%      40.683ms       3.390ms           0 b           0 b           0 b           0 b            12  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 952.073ms
Self CUDA time total: 1.539s
