-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::resize_         0.08%     799.464us         0.13%       1.191ms       5.223us      11.961ms         0.78%      11.961ms      52.462us           0 b           0 b      46.88 Gb      46.88 Gb           228  
                                               aten::mm         0.45%       4.292ms         0.68%       6.429ms      29.764us     130.487ms         8.48%     130.487ms     604.106us           0 b           0 b      24.22 Gb      24.22 Gb           216  
                                          backward_step         1.39%      13.222ms         1.88%      17.922ms       1.494ms       0.000us         0.00%     114.980ms       9.582ms           0 b           0 b     -15.62 Gb       8.39 Gb            12  
                          aten::max_pool2d_with_indices         0.07%     671.423us         0.10%     953.469us      19.864us      28.493ms         1.85%      28.493ms     593.597us           0 b           0 b       7.45 Gb       7.45 Gb            48  
                 aten::max_pool2d_with_indices_backward         0.03%     241.530us         0.07%     681.583us      28.399us      43.557ms         2.83%      51.749ms       2.156ms           0 b           0 b       5.44 Gb       5.44 Gb            24  
                                    aten::empty_strided         0.16%       1.489ms         0.16%       1.489ms       5.640us       0.000us         0.00%       0.000us       0.000us     192.00 Kb     192.00 Kb       3.90 Gb       3.90 Gb           264  
                                              aten::mul         0.09%     876.948us         0.14%       1.306ms      15.547us      18.354ms         1.19%      18.354ms     218.505us           0 b           0 b       3.90 Gb       3.90 Gb            84  
                                              aten::elu         0.06%     593.656us         0.09%     895.819us      18.663us      12.314ms         0.80%      12.314ms     256.532us           0 b           0 b       3.90 Gb       3.90 Gb            48  
                                              aten::exp         0.06%     556.949us         0.08%     793.063us      16.522us      12.301ms         0.80%      12.301ms     256.261us           0 b           0 b       3.90 Gb       3.90 Gb            48  
                                     aten::elu_backward         0.05%     515.890us         0.09%     895.310us      18.652us      18.183ms         1.18%      18.183ms     378.810us           0 b           0 b       3.90 Gb       3.90 Gb            48  
                                            aten::empty         0.16%       1.481ms         0.16%       1.481ms       4.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.80 Gb       3.80 Gb           324  
                                aten::cudnn_convolution         0.06%     565.647us         0.14%       1.337ms     111.378us       5.707ms         0.37%       5.707ms     475.581us           0 b           0 b       2.65 Gb       2.65 Gb            12  
                                               aten::gt         0.08%     766.951us         0.11%       1.080ms      22.490us       7.516ms         0.49%       7.516ms     156.586us           0 b           0 b    1008.00 Mb    1008.00 Mb            48  
                                              aten::bmm         0.10%     928.806us         0.14%       1.356ms      37.668us      64.801ms         4.21%      64.801ms       1.800ms           0 b           0 b     189.00 Mb     189.00 Mb            36  
                                              aten::sum         0.20%       1.890ms         0.30%       2.825ms      23.540us      26.297ms         1.71%      26.297ms     219.142us           0 b           0 b      15.86 Mb      15.86 Mb           120  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 952.073ms
Self CUDA time total: 1.539s
