-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                  fused_forward_gramian         0.00%       0.000us         0.00%       0.000us       0.000us     225.699ms        34.39%     225.699ms      18.808ms           0 b           0 b           0 b           0 b            12                                                                                []  
                             aten::convolution_backward         0.12%     488.311us         0.30%       1.262ms      52.600us      53.162ms         8.10%      56.855ms       2.369ms           0 b           0 b       2.64 Gb           0 b            24  [[32, 2048, 28, 28], [32, 1024, 30, 30], [2048, 1, 3, 3], [], [], [], [], [], []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      42.297ms         6.45%      42.297ms     881.186us           0 b           0 b           0 b           0 b            48                                                                                []  
void at::native::im2col_kernel<float>(long, float co...         0.00%       0.000us         0.00%       0.000us       0.000us      35.087ms         5.35%      35.087ms      30.457us           0 b           0 b           0 b           0 b          1152                                                                                []  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      30.637ms         4.67%      30.637ms       2.553ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                Optimizer.step#SGD.step         0.00%       0.000us         0.00%       0.000us       0.000us      28.792ms         4.39%      28.792ms       2.399ms           0 b           0 b           0 b           0 b            12                                                                                []  
                                    aten::_foreach_add_         0.08%     341.914us         0.18%     777.192us      64.766us      28.738ms         4.38%      28.738ms       2.395ms           0 b           0 b           0 b           0 b            12                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      28.738ms         4.38%      28.738ms     342.121us           0 b           0 b           0 b           0 b            84                                                                                []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      26.714ms         4.07%      26.714ms       1.113ms           0 b           0 b           0 b           0 b            24                                                                                []  
void at::native::(anonymous namespace)::conv_depthwi...         0.00%       0.000us         0.00%       0.000us       0.000us      26.200ms         3.99%      26.200ms       1.092ms           0 b           0 b           0 b           0 b            24                                                                                []  
                                           aten::im2col         0.26%       1.093ms         0.88%       3.695ms     307.907us      22.861ms         3.48%      27.025ms       2.252ms           0 b           0 b      10.34 Gb           0 b            12                                              [[32, 1024, 30, 30], [], [], [], []]  
                                aten::_conv_depthwise2d         0.03%     113.054us         0.07%     301.822us      25.152us      22.472ms         3.42%      22.472ms       1.873ms           0 b           0 b       2.30 Gb           0 b            12                     [[32, 1024, 30, 30], [2048, 1, 3, 3], [], [2048], [], [], []]  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us      21.063ms         3.21%      21.063ms     877.641us           0 b           0 b           0 b           0 b            24                                                                                []  
                                              aten::bmm         0.06%     272.948us         0.09%     367.717us      30.643us      19.344ms         2.95%      19.344ms       1.612ms           0 b           0 b      27.00 Mb      27.00 Mb            12                                                [[32768, 2, 784], [32768, 784, 9]]  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      19.344ms         2.95%      19.344ms       1.612ms           0 b           0 b           0 b           0 b            12                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 421.134ms
Self CUDA time total: 656.231ms
