-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      95.159ms        78.41%      95.159ms       1.903ms           0 B           0 B           0 B           0 B            50                                                                                []  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us      59.635ms        49.14%      59.635ms       1.193ms           0 B           0 B           0 B           0 B            50                                                                                []  
_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_32x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us      23.628ms        19.47%      23.628ms     236.276us           0 B           0 B           0 B           0 B           100                                                                                []  
                                               aten::mm         0.16%       1.515ms         0.27%       2.617ms      52.345us      23.602ms        19.45%      23.602ms     472.046us           0 B           0 B     200.00 KB     200.00 KB            50                                                      [[32, 524544], [524544, 32]]  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us      14.003ms        11.54%      14.003ms      70.014us           0 B           0 B           0 B           0 B           200                                                                                []  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us      13.469ms        11.10%      13.469ms      67.343us           0 B           0 B           0 B           0 B           200                                                                                []  
                             aten::convolution_backward         0.21%       2.008ms         0.55%       5.232ms      52.325us      12.608ms        10.39%      13.483ms     134.829us           0 B           0 B     703.71 MB           0 B           100  [[32, 128, 28, 28], [32, 64, 30, 30], [128, 1, 3, 3], [], [], [], [], [], [], []  
                                aten::_conv_depthwise2d         0.12%       1.137ms         0.35%       3.379ms      33.791us      11.494ms         9.47%      11.494ms     114.937us           0 B           0 B       1.20 GB           0 B           100                         [[32, 64, 30, 30], [128, 1, 3, 3], [], [128], [], [], []]  
                                              aten::cat         0.63%       6.015ms         2.32%      22.294ms      89.174us      10.836ms         8.93%      10.836ms      43.342us           0 B           0 B       3.17 GB       3.17 GB           250                                                                          [[], []]  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us      10.769ms         8.87%      10.769ms      53.846us           0 B           0 B           0 B           0 B           200                                                                                []  
_ZN2at6native52_GLOBAL__N__83ba8c45_19_DilatedMaxPoo...         0.00%       0.000us         0.00%       0.000us       0.000us      10.531ms         8.68%      10.531ms      52.657us           0 B           0 B           0 B           0 B           200                                                                                []  
                             aten::convolution_backward         0.14%       1.343ms         0.26%       2.448ms      48.965us      10.342ms         8.52%      10.342ms     206.837us           0 B           0 B      10.55 MB           0 B            50  [[1, 2048, 30, 30], [1, 96, 32, 32], [2048, 3, 3, 3], [], [], [], [], [], [], []  
_ZN5cudnn3cnn29wgrad2d_grouped_direct_kernelILb0ELb1...         0.00%       0.000us         0.00%       0.000us       0.000us      10.342ms         8.52%      10.342ms     206.837us           0 B           0 B           0 B           0 B            50                                                                                []  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us      10.148ms         8.36%      10.148ms      50.741us           0 B           0 B           0 B           0 B           200                                                                                []  
                 aten::max_pool2d_with_indices_backward         0.13%       1.277ms         0.38%       3.627ms      36.271us       8.386ms         6.91%       9.384ms      93.842us           0 B           0 B       1.20 GB       1.20 GB           100     [[32, 128, 14, 14], [32, 128, 28, 28], [], [], [], [], [], [32, 128, 14, 14]]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 959.177ms
Self CUDA time total: 121.363ms
