-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     144.219ms       265.20%     144.219ms       2.828ms           0 B           0 B           0 B           0 B            51  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us     135.940ms       249.98%     135.940ms       2.719ms           0 B           0 B           0 B           0 B            50  
                             aten::convolution_backward         1.25%      15.872ms         4.51%      57.289ms     104.162us      18.916ms        34.78%      30.589ms      55.617us           0 B           0 B     564.36 MB     -75.00 KB           550  
                                               aten::mm         1.63%      20.720ms         5.13%      65.200ms      76.706us       9.359ms        17.21%      10.638ms      12.515us           0 B           0 B     866.05 MB      49.26 MB           850  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us       7.481ms        13.76%       7.481ms      37.407us           0 B           0 B           0 B           0 B           200  
                                aten::_conv_depthwise2d         0.20%       2.597ms         0.96%      12.166ms      60.831us       7.050ms        12.96%       7.213ms      36.067us           0 B           0 B     740.22 MB           0 B           200  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us       7.050ms        12.96%       7.050ms      35.252us           0 B           0 B           0 B           0 B           200  
_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_32x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us       6.642ms        12.21%       6.642ms      66.419us           0 B           0 B           0 B           0 B           100  
                 aten::max_pool2d_with_indices_backward         0.18%       2.265ms         0.56%       7.173ms      35.866us       5.347ms         9.83%       6.029ms      30.146us           0 B           0 B     742.89 MB     742.89 MB           200  
_ZN2at6native52_GLOBAL__N__83ba8c45_19_DilatedMaxPoo...         0.00%       0.000us         0.00%       0.000us       0.000us       5.347ms         9.83%       5.347ms      26.733us           0 B           0 B           0 B           0 B           200  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us       5.276ms         9.70%       5.276ms      26.381us           0 B           0 B           0 B           0 B           200  
_ZN5cudnn3cnn29wgrad2d_grouped_direct_kernelILb0ELb1...         0.00%       0.000us         0.00%       0.000us       0.000us       5.072ms         9.33%       5.072ms     101.433us           0 B           0 B           0 B           0 B            50  
                                              aten::sum         0.97%      12.313ms         2.67%      33.858ms      56.430us       3.326ms         6.12%       3.326ms       5.544us           0 B           0 B       2.00 MB       2.00 MB           600  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us       2.668ms         4.91%       2.668ms       7.622us           0 B           0 B           0 B           0 B           350  
                                aten::cudnn_convolution         7.26%      92.273ms        10.82%     137.405ms       1.374ms       1.793ms         3.30%       2.201ms      22.008us           0 B           0 B     361.28 MB     361.28 MB           100  
                                     aten::elu_backward         0.35%       4.443ms         0.67%       8.566ms      21.415us       1.516ms         2.79%       1.516ms       3.789us           0 B           0 B     530.94 MB     530.94 MB           400  
_ZN2at6native29vectorized_elementwise_kernelILi4EZZZ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.516ms         2.79%       1.516ms       3.789us           0 B           0 B           0 B           0 B           400  
_ZN7cutlass7Kernel2I41cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       1.336ms         2.46%       1.336ms       4.453us           0 B           0 B           0 B           0 B           300  
_Z17wgrad_alg0_engineIfLi128ELi5ELi5ELi3ELi3ELi3ELb0...         0.00%       0.000us         0.00%       0.000us       0.000us       1.056ms         1.94%       1.056ms      21.114us           0 B           0 B           0 B           0 B            50  
                                            aten::fill_         0.28%       3.611ms         1.24%      15.784ms      24.284us       1.019ms         1.87%       1.022ms       1.572us           0 B           0 B           0 B           0 B           650  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.270s
Self CUDA time total: 54.381ms
