-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           weighting_qp         0.00%       0.000us         0.00%       0.000us       0.000us      95.159ms        78.41%      95.159ms       1.903ms           0 B           0 B           0 B           0 B            50  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us      59.635ms        49.14%      59.635ms       1.193ms           0 B           0 B           0 B           0 B            50  
                             aten::convolution_backward         1.42%      13.621ms         5.22%      50.059ms      91.016us      36.004ms        29.67%      57.506ms     104.557us           0 B           0 B       1.06 GB     -75.00 KB           550  
                                               aten::mm         2.09%      20.024ms         6.40%      61.364ms      72.193us      27.383ms        22.56%      33.522ms      39.438us           0 B           0 B       3.27 GB     131.23 MB           850  
_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_32x128_8...         0.00%       0.000us         0.00%       0.000us       0.000us      23.628ms        19.47%      23.628ms     236.276us           0 B           0 B           0 B           0 B           100  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us      14.003ms        11.54%      14.003ms      70.014us           0 B           0 B           0 B           0 B           200  
                                aten::_conv_depthwise2d         0.22%       2.143ms         0.69%       6.656ms      33.280us      13.469ms        11.10%      13.469ms      67.343us           0 B           0 B       1.44 GB           0 B           200  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us      13.469ms        11.10%      13.469ms      67.343us           0 B           0 B           0 B           0 B           200  
                                              aten::cat         0.63%       6.015ms         2.32%      22.294ms      89.174us      10.836ms         8.93%      10.836ms      43.342us           0 B           0 B       3.17 GB       3.17 GB           250  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us      10.769ms         8.87%      10.769ms      53.846us           0 B           0 B           0 B           0 B           200  
                 aten::max_pool2d_with_indices_backward         0.29%       2.759ms         0.83%       8.003ms      40.013us      10.531ms         8.68%      11.776ms      58.879us           0 B           0 B       1.42 GB       1.42 GB           200  
_ZN2at6native52_GLOBAL__N__83ba8c45_19_DilatedMaxPoo...         0.00%       0.000us         0.00%       0.000us       0.000us      10.531ms         8.68%      10.531ms      52.657us           0 B           0 B           0 B           0 B           200  
_ZN5cudnn3cnn29wgrad2d_grouped_direct_kernelILb0ELb1...         0.00%       0.000us         0.00%       0.000us       0.000us      10.342ms         8.52%      10.342ms     206.837us           0 B           0 B           0 B           0 B            50  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us      10.148ms         8.36%      10.148ms      50.741us           0 B           0 B           0 B           0 B           200  
                                              aten::bmm         0.27%       2.613ms         1.09%      10.474ms     104.744us       5.549ms         4.57%       5.549ms      55.494us           0 B           0 B       3.14 GB       3.14 GB           100  
_Z13gemmk1_kernelIifLi256ELi5ELb0ELb0ELb1ELb0E30cubl...         0.00%       0.000us         0.00%       0.000us       0.000us       5.549ms         4.57%       5.549ms      55.494us           0 B           0 B           0 B           0 B           100  
                                              aten::sum         1.21%      11.630ms         2.01%      19.239ms      32.065us       4.476ms         3.69%       4.476ms       7.460us           0 B           0 B       3.78 MB       3.78 MB           600  
_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOp...         0.00%       0.000us         0.00%       0.000us       0.000us       3.676ms         3.03%       3.676ms      10.504us           0 B           0 B           0 B           0 B           350  
                                aten::cudnn_convolution         0.51%       4.877ms         1.07%      10.249ms     102.485us       2.601ms         2.14%       2.633ms      26.332us           0 B           0 B     703.12 MB     703.12 MB           100  
                                     aten::elu_backward         0.43%       4.158ms         0.97%       9.329ms      23.321us       2.441ms         2.01%       2.441ms       6.102us           0 B           0 B       1.02 GB       1.02 GB           400  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 959.177ms
Self CUDA time total: 121.363ms
