-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us        3.322s        26.95%        3.322s      16.612ms           0 B           0 B           0 B           0 B           200                                                                                []  
                                               aten::mm         1.15%     269.392ms         1.15%     271.010ms       5.420ms        2.299s        18.65%        2.299s      45.988ms           0 B           0 B     200.00 KB     200.00 KB            50                                                    [[32, 2097664], [2097664, 32]]  
_ZN7cutlass7Kernel2I42cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us        2.299s        18.65%        2.299s      45.984ms           0 B           0 B           0 B           0 B            50                                                                                []  
                             aten::convolution_backward         0.01%       2.102ms         0.02%       5.015ms      50.152us        2.086s        16.92%        2.149s      21.493ms           0 B           0 B       1.37 GB           0 B           100  [[32, 256, 28, 28], [32, 128, 30, 30], [256, 1, 3, 3], [], [], [], [], [], [], [  
                                              aten::cat         0.04%       8.771ms         4.15%     974.452ms       3.898ms        1.841s        14.93%        1.841s       7.365ms           0 B           0 B      12.59 GB      12.59 GB           250                                                                          [[], []]  
_ZN2at6native40_GLOBAL__N__0b46c3ea_8_Shape_cu_85d9f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.790s        14.51%        1.790s       8.948ms           0 B           0 B           0 B           0 B           200                                                                                []  
                             aten::convolution_backward         0.00%       1.164ms         0.01%       2.260ms      45.192us        1.506s        12.21%        1.506s      30.120ms           0 B           0 B      14.06 MB           0 B            50  [[1, 8192, 28, 28], [1, 4096, 30, 30], [8192, 1, 3, 3], [], [], [], [], [], [],   
_ZN2at6native51_GLOBAL__N__67b3c33b_18_DepthwiseConv...         0.00%       0.000us         0.00%       0.000us       0.000us     957.005ms         7.76%     957.005ms       4.785ms           0 B           0 B           0 B           0 B           200                                                                                []  
_Z13gemmk1_kernelIifLi256ELi5ELb0ELb0ELb1ELb0E30cubl...         0.00%       0.000us         0.00%       0.000us       0.000us     867.211ms         7.03%     867.211ms       8.672ms           0 B           0 B           0 B           0 B           100                                                                                []  
                                              aten::bmm         0.01%       1.532ms         0.78%     183.484ms       3.670ms     865.111ms         7.02%     865.111ms      17.302ms           0 B           0 B      12.50 GB      12.50 GB            50                                                     [[32, 512, 1], [32, 1, 4096]]  
_ZN2at6native52_GLOBAL__N__83ba8c45_19_DilatedMaxPoo...         0.00%       0.000us         0.00%       0.000us       0.000us     569.565ms         4.62%     569.565ms       2.848ms           0 B           0 B           0 B           0 B           200                                                                                []  
                             aten::convolution_backward         0.01%       1.797ms         0.01%       3.021ms      60.421us     561.055ms         4.55%     561.055ms      11.221ms           0 B           0 B      21.09 MB           0 B            50  [[1, 4096, 30, 30], [1, 96, 32, 32], [4096, 3, 3, 3], [], [], [], [], [], [], []  
_ZN5cudnn3cnn29wgrad2d_grouped_direct_kernelILb0ELb1...         0.00%       0.000us         0.00%       0.000us       0.000us     561.055ms         4.55%     561.055ms      11.221ms           0 B           0 B           0 B           0 B            50                                                                                []  
                 aten::max_pool2d_with_indices_backward         0.01%       1.543ms         0.05%      10.751ms     107.511us     557.272ms         4.52%     688.697ms       6.887ms           0 B           0 B       2.39 GB       2.39 GB           100     [[32, 256, 14, 14], [32, 256, 28, 28], [], [], [], [], [], [32, 256, 14, 14]]  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     517.757ms         4.20%     517.757ms      10.355ms           0 B           0 B           0 B           0 B            50                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 23.490s
Self CUDA time total: 12.330s
