-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           gramian_pass        25.86%     328.464ms        28.65%     363.977ms       7.280ms       0.000us         0.00%      37.471us       0.749us           0 B           0 B       1.34 GB       1.34 GB            50  
                                          aten::resize_         0.15%       1.956ms         0.32%       4.052ms       5.788us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.26 GB       1.26 GB           700  
                                              aten::cat         0.48%       6.113ms         1.63%      20.729ms      82.916us     954.171us         1.75%     954.171us       3.817us           0 B           0 B     821.95 MB     821.95 MB           250  
                                              aten::bmm         0.23%       2.944ms         1.05%      13.287ms     132.875us     818.980us         1.51%     818.980us       8.190us           0 B           0 B     807.81 MB     807.81 MB           100  
                 aten::max_pool2d_with_indices_backward         0.18%       2.265ms         0.56%       7.173ms      35.866us       5.347ms         9.83%       6.029ms      30.146us           0 B           0 B     742.89 MB     742.89 MB           200  
                                     aten::elu_backward         0.35%       4.443ms         0.67%       8.566ms      21.415us       1.516ms         2.79%       1.516ms       3.789us           0 B           0 B     530.94 MB     530.94 MB           400  
                                aten::cudnn_convolution         7.26%      92.273ms        10.82%     137.405ms       1.374ms       1.793ms         3.30%       2.201ms      22.008us           0 B           0 B     361.28 MB     361.28 MB           100  
                                              aten::elu         0.26%       3.287ms         0.65%       8.213ms      41.065us     492.591us         0.91%     505.743us       2.529us           0 B           0 B     266.72 MB     266.72 MB           200  
                          aten::max_pool2d_with_indices         0.14%       1.715ms         0.31%       3.980ms      39.797us     605.224us         1.11%     650.920us       6.509us           0 B           0 B     248.94 MB     248.94 MB           100  
                                               aten::mm         1.63%      20.720ms         5.13%      65.200ms      76.706us       9.359ms        17.21%      10.638ms      12.515us           0 B           0 B     866.05 MB      49.26 MB           850  
                                            aten::addmm         0.77%       9.824ms         3.91%      49.617ms     248.083us     854.145us         1.57%       1.586ms       7.931us           0 B           0 B      19.81 MB       9.93 MB           200  
                                            aten::empty         0.29%       3.673ms         0.29%       3.673ms       2.826us       0.000us         0.00%       0.000us       0.000us       1.95 KB       1.95 KB       5.74 MB       5.74 MB          1300  
                                              aten::sum         0.97%      12.313ms         2.67%      33.858ms      56.430us       3.326ms         6.12%       3.326ms       5.544us           0 B           0 B       2.00 MB       2.00 MB           600  
                                              aten::add         0.24%       3.058ms         0.31%       3.993ms      26.619us     152.216us         0.28%     152.216us       1.015us           0 B           0 B       1.05 MB       1.05 MB           150  
                                    aten::empty_strided         0.09%       1.122ms         0.09%       1.122ms       3.740us       0.000us         0.00%       0.000us       0.000us     600.00 KB     600.00 KB     425.00 KB     425.00 KB           300  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.270s
Self CUDA time total: 54.381ms
